"","feature_set","resample","problem","C"
"313","FFT (Mag^2 + Angle) + quantiles",5,"AconityMINIPrinterSmall",0.0464158883361278
"314","Quantiles",5,"AconityMINIPrinterSmall",0.359381366380463
"315","FFT coef. (Mag^2 + Angle)",5,"AconityMINIPrinterSmall",0.00599484250318941
"316","catch22",6,"AconityMINIPrinterSmall",166.810053720006
"317","feasts",6,"AconityMINIPrinterSmall",0.0464158883361278
"318","tsfeatures",6,"AconityMINIPrinterSmall",0.359381366380463
"319","TSFEL",6,"AconityMINIPrinterSmall",0.0464158883361278
"320","Kats",6,"AconityMINIPrinterSmall",2.78255940220713
"321","tsfresh",6,"AconityMINIPrinterSmall",0.00599484250318941
"322","FFT (Mag^2 + Angle) + quantiles",6,"AconityMINIPrinterSmall",0.0464158883361278
"323","Quantiles",6,"AconityMINIPrinterSmall",0.359381366380463
"324","FFT coef. (Mag^2 + Angle)",6,"AconityMINIPrinterSmall",0.00599484250318941
"325","catch22",7,"AconityMINIPrinterSmall",166.810053720006
"326","feasts",7,"AconityMINIPrinterSmall",0.359381366380463
"327","tsfeatures",7,"AconityMINIPrinterSmall",0.359381366380463
"328","TSFEL",7,"AconityMINIPrinterSmall",0.00599484250318941
"329","Kats",7,"AconityMINIPrinterSmall",0.0464158883361278
"330","tsfresh",7,"AconityMINIPrinterSmall",0.00599484250318941
"331","FFT (Mag^2 + Angle) + quantiles",7,"AconityMINIPrinterSmall",0.0464158883361278
"332","Quantiles",7,"AconityMINIPrinterSmall",0.359381366380463
"333","FFT coef. (Mag^2 + Angle)",7,"AconityMINIPrinterSmall",0.00599484250318941
"334","catch22",8,"AconityMINIPrinterSmall",21.5443469003188
"335","feasts",8,"AconityMINIPrinterSmall",0.359381366380463
"336","tsfeatures",8,"AconityMINIPrinterSmall",0.0464158883361278
"337","TSFEL",8,"AconityMINIPrinterSmall",0.0464158883361278
"338","Kats",8,"AconityMINIPrinterSmall",2.78255940220713
"339","tsfresh",8,"AconityMINIPrinterSmall",0.0464158883361278
"340","FFT (Mag^2 + Angle) + quantiles",8,"AconityMINIPrinterSmall",0.0464158883361278
"341","Quantiles",8,"AconityMINIPrinterSmall",0.359381366380463
"342","FFT coef. (Mag^2 + Angle)",8,"AconityMINIPrinterSmall",0.00599484250318941
"343","catch22",9,"AconityMINIPrinterSmall",166.810053720006
"344","feasts",9,"AconityMINIPrinterSmall",0.0464158883361278
"345","tsfeatures",9,"AconityMINIPrinterSmall",0.359381366380463
"346","TSFEL",9,"AconityMINIPrinterSmall",0.0464158883361278
"347","Kats",9,"AconityMINIPrinterSmall",2.78255940220713
"348","tsfresh",9,"AconityMINIPrinterSmall",0.00599484250318941
"349","FFT (Mag^2 + Angle) + quantiles",9,"AconityMINIPrinterSmall",0.0464158883361278
"350","Quantiles",9,"AconityMINIPrinterSmall",0.0464158883361278
"351","FFT coef. (Mag^2 + Angle)",9,"AconityMINIPrinterSmall",0.00599484250318941
"352","catch22",10,"AconityMINIPrinterSmall",2.78255940220713
"353","feasts",10,"AconityMINIPrinterSmall",0.359381366380463
"354","tsfeatures",10,"AconityMINIPrinterSmall",0.359381366380463
"355","TSFEL",10,"AconityMINIPrinterSmall",0.0464158883361278
"356","Kats",10,"AconityMINIPrinterSmall",166.810053720006
"357","tsfresh",10,"AconityMINIPrinterSmall",0.00599484250318941
"358","FFT (Mag^2 + Angle) + quantiles",10,"AconityMINIPrinterSmall",0.0464158883361278
"359","Quantiles",10,"AconityMINIPrinterSmall",0.359381366380463
"360","FFT coef. (Mag^2 + Angle)",10,"AconityMINIPrinterSmall",0.00599484250318941
"361","catch22",11,"AconityMINIPrinterSmall",166.810053720006
"362","feasts",11,"AconityMINIPrinterSmall",21.5443469003188
"363","tsfeatures",11,"AconityMINIPrinterSmall",0.0464158883361278
"364","TSFEL",11,"AconityMINIPrinterSmall",0.00599484250318941
"365","Kats",11,"AconityMINIPrinterSmall",2.78255940220713
"366","tsfresh",11,"AconityMINIPrinterSmall",2.78255940220713
"367","FFT (Mag^2 + Angle) + quantiles",11,"AconityMINIPrinterSmall",0.0464158883361278
"368","Quantiles",11,"AconityMINIPrinterSmall",0.359381366380463
"369","FFT coef. (Mag^2 + Angle)",11,"AconityMINIPrinterSmall",0.00599484250318941
"370","catch22",12,"AconityMINIPrinterSmall",21.5443469003188
"371","feasts",12,"AconityMINIPrinterSmall",0.0464158883361278
"372","tsfeatures",12,"AconityMINIPrinterSmall",0.359381366380463
"373","TSFEL",12,"AconityMINIPrinterSmall",0.0464158883361278
"374","Kats",12,"AconityMINIPrinterSmall",21.5443469003188
